"title","name","role"
"It's the Great Pumpkin, Charlie Brown(1966)","Charles M. Schulz(6433)","writer"
"It's the Great Pumpkin, Charlie Brown(1966)","Vince Guaraldi(5279)","composer"
"It's the Great Pumpkin, Charlie Brown(1966)","Robert T. Gillis(9315)","editor"
"The Boys in the Band(1970)","John Robert Lloyd(6039)","production_designer"
"The Boys in the Band(1970)","Kenneth Nelson(5522)","actor"
"The Boys in the Band(1970)","Peter White(5320)","actor"
"The Boys in the Band(1970)","Leonard Frey(4600)","actor"
"The Boys in the Band(1970)","Frederick Combs(3644)","actor"
"The Boys in the Band(1970)","William Friedkin(1243)","director"
"The Boys in the Band(1970)","Mart Crowley(9758)","writer"
"The Boys in the Band(1970)","Arthur J. Ornitz(5817)","cinematographer"
"The Boys in the Band(1970)","Gerald B. Greenberg(8513)","editor"
"The Boys in the Band(1970)","Carl Lerner(3594)","editor"
"A Clockwork Orange(1971)","Malcolm McDowell(0532)","actor"
"A Clockwork Orange(1971)","Patrick Magee(5861)","actor"
"A Clockwork Orange(1971)","Michael Bates(0988)","actor"
"A Clockwork Orange(1971)","Warren Clarke(5049)","actor"
"A Clockwork Orange(1971)","Stanley Kubrick(0040)","director"
"A Clockwork Orange(1971)","Anthony Burgess(1256)","writer"
"A Clockwork Orange(1971)","John Alcott(5633)","cinematographer"
"A Clockwork Orange(1971)","Bill Butler(4833)","editor"
"A Clockwork Orange(1971)","John Barry(8045)","production_designer"
"The French Connection(1971)","Owen Roizman(5845)","cinematographer"
"The French Connection(1971)","Gene Hackman(0432)","actor"
"The French Connection(1971)","Roy Scheider(1702)","actor"
"The French Connection(1971)","Fernando Rey(1073)","actor"
"The French Connection(1971)","Tony Lo Bianco(6215)","actor"
"The French Connection(1971)","William Friedkin(1243)","director"
"The French Connection(1971)","Ernest Tidyman(2781)","writer"
"The French Connection(1971)","Robin Moore(1811)","writer"
"The French Connection(1971)","Philip D'Antoni(5358)","producer"
"The French Connection(1971)","Don Ellis(4803)","composer"
"Harold and Maude(1971)","Edward Warschilka(3149)","editor"
"Harold and Maude(1971)","Ruth Gordon(2106)","actress"
"Harold and Maude(1971)","Bud Cort(1069)","actor"
"Harold and Maude(1971)","Vivian Pickles(1954)","actress"
"Harold and Maude(1971)","Cyril Cusack(9258)","actor"
"Harold and Maude(1971)","Hal Ashby(0797)","director"
"Harold and Maude(1971)","Colin Higgins(3359)","writer"
"Harold and Maude(1971)","Charles Mulvehill(2529)","producer"
"Harold and Maude(1971)","John A. Alonzo(2166)","cinematographer"
"Harold and Maude(1971)","William A. Sawyer(8235)","editor"
"McCabe & Mrs. Miller(1971)","Mitchell Brower(2896)","producer"
"McCabe & Mrs. Miller(1971)","Warren Beatty(0886)","actor"
"McCabe & Mrs. Miller(1971)","Julie Christie(1046)","actress"
"McCabe & Mrs. Miller(1971)","Rene Auberjonois(1281)","actor"
"McCabe & Mrs. Miller(1971)","William Devane(1137)","actor"
"McCabe & Mrs. Miller(1971)","Robert Altman(0265)","director"
"McCabe & Mrs. Miller(1971)","Edmund Naughton(2547)","writer"
"McCabe & Mrs. Miller(1971)","Brian McKay(2061)","writer"
"McCabe & Mrs. Miller(1971)","Robert Towne(1801)","writer"
"McCabe & Mrs. Miller(1971)","Joseph Calvelli(0773)","writer"
"Boxcar Bertha(1972)","Gib Guilbeau(6888)","composer"
"Boxcar Bertha(1972)","Barbara Hershey(1347)","actress"
"Boxcar Bertha(1972)","David Carradine(1016)","actor"
"Boxcar Bertha(1972)","Barry Primus(7587)","actor"
"Boxcar Bertha(1972)","Bernie Casey(3378)","actor"
"Boxcar Bertha(1972)","Martin Scorsese(0217)","director"
"Boxcar Bertha(1972)","Ben L. Reitman(8639)","writer"
"Boxcar Bertha(1972)","Joyce Hooper Corrington(1020)","writer"
"Boxcar Bertha(1972)","John William Corrington(1019)","writer"
"Boxcar Bertha(1972)","Roger Corman(0339)","producer"
"The Discreet Charm of the Bourgeoisie(1972)","Pierre Guffroy(6535)","production_designer"
"The Discreet Charm of the Bourgeoisie(1972)","Fernando Rey(1073)","actor"
"The Discreet Charm of the Bourgeoisie(1972)","Delphine Seyrig(6891)","actress"
"The Discreet Charm of the Bourgeoisie(1972)","Paul Frankeur(1289)","actor"
"The Discreet Charm of the Bourgeoisie(1972)","Bulle Ogier(4680)","actress"
"The Discreet Charm of the Bourgeoisie(1972)","Luis Buñuel(0320)","director"
"The Discreet Charm of the Bourgeoisie(1972)","Jean-Claude Carrière(0643)","writer"
"The Discreet Charm of the Bourgeoisie(1972)","Serge Silberman(7889)","producer"
"The Discreet Charm of the Bourgeoisie(1972)","Edmond Richard(3788)","cinematographer"
"The Discreet Charm of the Bourgeoisie(1972)","Hélène Plemiannikov(7141)","editor"
"Hanzo the Razor: Sword of Justice(1972)","Chikashi Makiura(8648)","cinematographer"
"Hanzo the Razor: Sword of Justice(1972)","Shintarô Katsu(1526)","actor"
"Hanzo the Razor: Sword of Justice(1972)","Yukiji Asaoka(8378)","actress"
"Hanzo the Razor: Sword of Justice(1972)","Mari Atsumi(0911)","actress"
"Hanzo the Razor: Sword of Justice(1972)","Kô Nishimura(2757)","actor"
"Hanzo the Razor: Sword of Justice(1972)","Kenji Misumi(3014)","director"
"Hanzo the Razor: Sword of Justice(1972)","Kazuo Koike(3521)","writer"
"Hanzo the Razor: Sword of Justice(1972)","Takeshi Kanda(7177)","writer"
"Hanzo the Razor: Sword of Justice(1972)","Hiroyoshi Nishioka(2798)","producer"
"Hanzo the Razor: Sword of Justice(1972)","Kunihiko Murai(0797)","composer"
"Enter the Dragon(1973)","Gil Hubbs(9275)","cinematographer"
"Enter the Dragon(1973)","Bruce Lee(0045)","actor"
"Enter the Dragon(1973)","John Saxon(8334)","actor"
"Enter the Dragon(1973)","Jim Kelly(6485)","actor"
"Enter the Dragon(1973)","Ahna Capri(5622)","actress"
"Enter the Dragon(1973)","Robert Clouse(7195)","director"
"Enter the Dragon(1973)","Michael Allin(1363)","writer"
"Enter the Dragon(1973)","Paul M. Heller(5370)","producer"
"Enter the Dragon(1973)","Fred Weintraub(8518)","producer"
"Enter the Dragon(1973)","Lalo Schifrin(6277)","composer"
"Mean Streets(1973)","Robert De Niro(0134)","actor"
"Mean Streets(1973)","Harvey Keitel(0172)","actor"
"Mean Streets(1973)","David Proval(8998)","actor"
"Mean Streets(1973)","Amy Robinson(2364)","actress"
"Mean Streets(1973)","Martin Scorsese(0217)","director"
"Mean Streets(1973)","Mardik Martin(2731)","writer"
"Mean Streets(1973)","Jonathan T. Taplin(0038)","producer"
"Mean Streets(1973)","Kent L. Wakeford(6814)","cinematographer"
"Mean Streets(1973)","Sidney Levin(5720)","editor"
"Alice Doesn't Live Here Anymore(1974)","Marcia Lucas(4235)","editor"
"Alice Doesn't Live Here Anymore(1974)","Ellen Burstyn(0995)","actress"
"Alice Doesn't Live Here Anymore(1974)","Kris Kristofferson(1434)","actor"
"Alice Doesn't Live Here Anymore(1974)","Mia Bendixsen(0592)","actress"
"Alice Doesn't Live Here Anymore(1974)","Alfred Lutter III(7501)","actor"
"Alice Doesn't Live Here Anymore(1974)","Martin Scorsese(0217)","director"
"Alice Doesn't Live Here Anymore(1974)","Robert Getchell(5205)","writer"
"Alice Doesn't Live Here Anymore(1974)","Audrey Maas(0972)","producer"
"Alice Doesn't Live Here Anymore(1974)","David Susskind(9914)","producer"
"Alice Doesn't Live Here Anymore(1974)","Kent L. Wakeford(6814)","cinematographer"
"F for Fake(1973)","Orson Welles(0080)","self"
"F for Fake(1973)","Oja Kodar(2648)","self"
"F for Fake(1973)","François Reichenbach(7025)","self"
"F for Fake(1973)","Elmyr de Hory(8885)","self"
"F for Fake(1973)","Gary Graver(4372)","director"
"F for Fake(1973)","Michel Legrand(6166)","composer"
"F for Fake(1973)","Marie-Sophie Dubus(9656)","editor"
"F for Fake(1973)","Dominique Engerer(7360)","editor"
"Eraserhead(1977)","Jack Nance(0756)","actor"
"Eraserhead(1977)","Charlotte Stewart(9270)","actress"
"Eraserhead(1977)","Allen Joseph(0535)","actor"
"Eraserhead(1977)","Jeanne Bates(0931)","actress"
"Eraserhead(1977)","David Lynch(0186)","director"
"Eraserhead(1977)","Herbert Cardwell(6754)","cinematographer"
"Eraserhead(1977)","Frederick Elmes(5695)","cinematographer"
"Rocky(1976)","Scott Conrad(5722)","editor"
"Rocky(1976)","Sylvester Stallone(0230)","actor"
"Rocky(1976)","Talia Shire(1735)","actress"
"Rocky(1976)","Burt Young(9350)","actor"
"Rocky(1976)","Carl Weathers(1835)","actor"
"Rocky(1976)","John G. Avildsen(0814)","director"
"Rocky(1976)","Robert Chartoff(3590)","producer"
"Rocky(1976)","Irwin Winkler(5563)","producer"
"Rocky(1976)","Bill Conti(6015)","composer"
"Rocky(1976)","James Crabe(5583)","cinematographer"
"Superman(1978)","Leslie Newman(8174)","writer"
"Superman(1978)","Christopher Reeve(1659)","actor"
"Superman(1978)","Margot Kidder(2288)","actress"
"Superman(1978)","Gene Hackman(0432)","actor"
"Superman(1978)","Marlon Brando(0008)","actor"
"Superman(1978)","Richard Donner(1149)","director"
"Superman(1978)","Jerry Siegel(6950)","writer"
"Superman(1978)","Joe Shuster(5975)","writer"
"Superman(1978)","Mario Puzo(1374)","writer"
"Superman(1978)","David Newman(8058)","writer"
"Alien(1979)","Walter Hill(1353)","producer"
"Alien(1979)","Sigourney Weaver(0244)","actress"
"Alien(1979)","Tom Skerritt(0643)","actor"
"Alien(1979)","John Hurt(0457)","actor"
"Alien(1979)","Veronica Cartwright(1021)","actress"
"Alien(1979)","Ridley Scott(0631)","director"
"Alien(1979)","Dan O'Bannon(9321)","writer"
"Alien(1979)","Ronald Shusett(5953)","writer"
"Alien(1979)","Gordon Carroll(0826)","producer"
"Alien(1979)","David Giler(8429)","producer"
"Lupin III: The Castle of Cagliostro(1979)","Haruyo Kanesaku(7573)","producer"
"Lupin III: The Castle of Cagliostro(1979)","Yasuo Yamada(5280)","actor"
"Lupin III: The Castle of Cagliostro(1979)","Eiko Masuyama(7968)","actress"
"Lupin III: The Castle of Cagliostro(1979)","Kiyoshi Kobayashi(2017)","actor"
"Lupin III: The Castle of Cagliostro(1979)","Makio Inoue(9296)","actor"
"Lupin III: The Castle of Cagliostro(1979)","Hayao Miyazaki(4503)","director"
"Lupin III: The Castle of Cagliostro(1979)","Monkey Punch(0578)","writer"
"Lupin III: The Castle of Cagliostro(1979)","Haruya Yamazaki(0897)","writer"
"Lupin III: The Castle of Cagliostro(1979)","Mary Claypool(6856)","writer"
"Lupin III: The Castle of Cagliostro(1979)","Maurice Leblanc(5728)","writer"
"Airplane!(1980)","Arthur Hailey(4150)","writer"
"Airplane!(1980)","Robert Hays(1332)","actor"
"Airplane!(1980)","Julie Hagerty(3546)","actress"
"Airplane!(1980)","Leslie Nielsen(0558)","actor"
"Airplane!(1980)","Kareem Abdul-Jabbar(0717)","actor"
"Airplane!(1980)","Jim Abrahams(0720)","director"
"Airplane!(1980)","David Zucker(1878)","director"
"Airplane!(1980)","Jerry Zucker(8387)","director"
"Airplane!(1980)","Hall Bartlett(8826)","writer"
"Airplane!(1980)","John C. Champion(0712)","writer"
"Coal Miner's Daughter(1980)","Ralf D. Bode(5659)","cinematographer"
"Coal Miner's Daughter(1980)","Sissy Spacek(0651)","actress"
"Coal Miner's Daughter(1980)","Tommy Lee Jones(0169)","actor"
"Coal Miner's Daughter(1980)","Levon Helm(5629)","actor"
"Coal Miner's Daughter(1980)","Phyllis Boyens-Liptak(1992)","actress"
"Coal Miner's Daughter(1980)","Michael Apted(0776)","director"
"Coal Miner's Daughter(1980)","Thomas Rickman(5564)","writer"
"Coal Miner's Daughter(1980)","Loretta Lynn(8750)","writer"
"Coal Miner's Daughter(1980)","George Vecsey(7917)","writer"
"Coal Miner's Daughter(1980)","Bernard Schwartz(3533)","producer"
"The Elephant Man(1980)","Jonathan Sanger(2674)","producer"
"The Elephant Man(1980)","Anthony Hopkins(0164)","actor"
"The Elephant Man(1980)","John Hurt(0457)","actor"
"The Elephant Man(1980)","Anne Bancroft(0843)","actress"
"The Elephant Man(1980)","John Gielgud(0024)","actor"
"The Elephant Man(1980)","David Lynch(0186)","director"
"The Elephant Man(1980)","Christopher De Vore(2246)","writer"
"The Elephant Man(1980)","Eric Bergren(5015)","writer"
"The Elephant Man(1980)","Frederick Treves(2375)","writer"
"The Elephant Man(1980)","Ashley Montagu(8744)","writer"
"Raging Bull(1980)","Mardik Martin(2731)","writer"
"Raging Bull(1980)","Robert De Niro(0134)","actor"
"Raging Bull(1980)","Cathy Moriarty(1550)","actress"
"Raging Bull(1980)","Joe Pesci(0582)","actor"
"Raging Bull(1980)","Frank Vincent(8634)","actor"
"Raging Bull(1980)","Martin Scorsese(0217)","director"
"Raging Bull(1980)","Jake LaMotta(3766)","writer"
"Raging Bull(1980)","Joseph Carter(1734)","writer"
"Raging Bull(1980)","Peter Savage(8014)","writer"
"Raging Bull(1980)","Paul Schrader(1707)","writer"
"Return to the 36th Chamber(1980)","Hsing-Lung Chiang(6963)","editor"
"Return to the 36th Chamber(1980)","Chia-Hui Liu(4904)","actor"
"Return to the 36th Chamber(1980)","Lung-Wei Wang(0979)","actor"
"Return to the 36th Chamber(1980)","Hou Hsiao(9136)","actor"
"Return to the 36th Chamber(1980)","Lun Hua(7864)","actor"
"Return to the 36th Chamber(1980)","Chia-Liang Liu(4906)","director"
"Return to the 36th Chamber(1980)","Kuang Ni(3250)","writer"
"Return to the 36th Chamber(1980)","Mona Fong(4592)","producer"
"Return to the 36th Chamber(1980)","Eddie Wang(0881)","composer"
"Return to the 36th Chamber(1980)","Peter Ngor(8956)","cinematographer"
"The Road Warrior(1981)","Dean Semler(5871)","cinematographer"
"The Road Warrior(1981)","Mel Gibson(0154)","actor"
"The Road Warrior(1981)","Bruce Spence(7748)","actor"
"The Road Warrior(1981)","Michael Preston(6463)","actor"
"The Road Warrior(1981)","Max Phipps(1041)","actor"
"The Road Warrior(1981)","George Miller(4306)","director"
"The Road Warrior(1981)","Terry Hayes(1249)","writer"
"The Road Warrior(1981)","Brian Hannant(0352)","writer"
"The Road Warrior(1981)","Byron Kennedy(7945)","writer"
"The Road Warrior(1981)","Brian May(6189)","composer"
"Indiana Jones and the Raiders of the Lost Ark(1981)","John Williams(2354)","composer"
"Indiana Jones and the Raiders of the Lost Ark(1981)","Harrison Ford(0148)","actor"
"Indiana Jones and the Raiders of the Lost Ark(1981)","Karen Allen(0261)","actress"
"Indiana Jones and the Raiders of the Lost Ark(1981)","Paul Freeman(3550)","actor"
"Indiana Jones and the Raiders of the Lost Ark(1981)","John Rhys-Davies(2636)","actor"
"Indiana Jones and the Raiders of the Lost Ark(1981)","Steven Spielberg(0229)","director"
"Indiana Jones and the Raiders of the Lost Ark(1981)","Lawrence Kasdan(1410)","writer"
"Indiana Jones and the Raiders of the Lost Ark(1981)","George Lucas(0184)","writer"
"Indiana Jones and the Raiders of the Lost Ark(1981)","Philip Kaufman(2241)","writer"
"Indiana Jones and the Raiders of the Lost Ark(1981)","Frank Marshall(0881)","producer"
"The Evil Dead(1981)","Bruce Campbell(2257)","actor"
"The Evil Dead(1981)","Ellen Sandweiss(2445)","actress"
"The Evil Dead(1981)","Richard DeManincor(7822)","actor"
"The Evil Dead(1981)","Betsy Baker(8260)","actress"
"The Evil Dead(1981)","Sam Raimi(0600)","director"
"The Evil Dead(1981)","Rob Tapert(9964)","producer"
"The Evil Dead(1981)","Joseph LoDuca(6173)","composer"
"The Evil Dead(1981)","Tim Philo(0924)","cinematographer"
"The Evil Dead(1981)","Edna Ruth Paul(6819)","editor"
"The Secret of NIMH(1982)","Ken Anderson(7011)","writer"
"The Secret of NIMH(1982)","Elizabeth Hartman(6946)","actress"
"The Secret of NIMH(1982)","Derek Jacobi(1394)","actor"
"The Secret of NIMH(1982)","Dom DeLuise(1123)","actor"
"The Secret of NIMH(1982)","Arthur Malet(9395)","actor"
"The Secret of NIMH(1982)","Don Bluth(9940)","director"
"The Secret of NIMH(1982)","Robert C. O'Brien(9791)","writer"
"The Secret of NIMH(1982)","John Pomeroy(0112)","writer"
